type,ocv,scc,vmax,imax,pmp,Vmax,ocvt,otvmp,tcisc,weig,deph,widt,leng,icost,ef,area,ncel,tol,dur,tcell,temp,TEMP,tier,NOCT,Inop
RSM120-8-590BMDG,41.3,18.16,34.42,17.15,590,1500,-0.25,-0.25,0.04,32,35,1.303,2.172,1,20.8,3.103,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM120-8-595BMDG,41.5,18.21,34.6,17.2,595,1500,-0.25,-0.25,0.04,32,35,1.303,2.172,1,21,3.103,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM120-8-600BMDG,41.7,18.26,34.8,17.25,600,1500,-0.25,-0.25,0.04,32,35,1.303,2.172,1,21.2,3.103,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM120-8-605BMDG,41.9,18.32,34.98,17.3,605,1500,-0.25,-0.25,0.04,32,35,1.303,2.172,1,21.4,3.103,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM110-8-540BMDG,37.88,18.13,31.56,17.12,540,1500,-0.25,-0.25,0.04,33,35,1.096,2.384,1,20.7,3.193,110,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM110-8-545BMDG,38.1,18.18,31.76,17.17,545,1500,-0.25,-0.25,0.04,33,35,1.096,2.384,1,20.9,3.193,110,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM110-8-550BMDG,38.32,18.23,31.96,17.22,550,1500,-0.25,-0.25,0.04,33,35,1.096,2.384,1,21,3.193,110,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM110-8-555BMDG,38.54,18.28,32.16,17.27,555,1500,-0.25,-0.25,0.04,33,35,1.096,2.384,1,21.2,3.193,110,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,35
RSM144-9-520BMDG,49.2,13.35,41.55,12.52,520,1500,-0.27,-0.27,0.045,32.5,35,1.134,2.266,1,20.1,3.246,144,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM144-9-525BMDG,49.3,13.45,41.65,12.61,525,1500,-0.27,-0.27,0.045,32.5,35,1.134,2.266,1,20.3,3.246,144,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM144-9-530BMDG,49.4,13.55,41.75,12.7,530,1500,-0.27,-0.27,0.045,32.5,35,1.134,2.266,1,20.5,3.246,144,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM144-9-535BMDG,49.5,13.64,41.87,12.79,535,1500,-0.27,-0.27,0.045,32.5,35,1.134,2.266,1,20.6,3.246,144,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM144-9-540BMDG,49.6,13.73,41.99,12.88,540,1500,-0.27,-0.27,0.045,32.5,35,1.134,2.266,1,20.8,3.246,144,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM120-9-440BMDG,40.4,13.57,34.79,12.65,440,1500,-0.27,-0.27,0.045,26.5,35,1.132,1.914,1,20.3,2.872,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM120-9-445BMDG,40.5,13.68,34.91,12.75,445,1500,-0.27,-0.27,0.045,26.5,35,1.132,1.914,1,20.5,2.872,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM120-9-450BMDG,40.6,13.78,35.05,12.85,450,1500,-0.27,-0.27,0.045,26.5,35,1.132,1.914,1,20.7,2.872,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
RSM120-9-455BMDG,40.7,13.88,35.15,12.95,455,1500,-0.27,-0.27,0.045,26.5,35,1.132,1.914,1,21,2.872,120,4.99,30,1,-40,85,IEC-61730; IEC-61215,44,25
